3582,25541,1/13/09,1/1/09,50,5500,0.07,110,5070.06,Mike Daniels,Applied Materials Inc.,Technology,Semiconductors,Pembroke Pines,33024,Florida,South,1/15/09,2,Development - Python,Development,Big Data,Mia Moore,Frank Mitchell,51,1,0.54
7241,51623,1/13/09,1/1/09,17,2125,0.06,125,1979.95,Michelle Ryan,Apple Inc.,Technology,Computer Manufacturing,College Park,20740,Maryland,East,1/13/09,0,Training - SQL,Training,Python,Ava Wilson,Allen Young,67,1,0.46
1144,8325,1/14/09,1/1/09,21,3150,0.08,150,2872.61,Jennifer Haines,Twenty-First Century Fox Inc.,Consumer Services,Television Services,Salinas,93905,California,West,1/16/09,2,Consulting - Strategy,Consulting,.Net,Ethan Bird,Bob Turner,60,1,0.6
1145,8325,1/14/09,1/1/09,27,3240,0.08,120,2954.69,Jennifer Haines,Twenty-First Century Fox Inc.,Consumer Services,Television Services,Salinas,93905,California,West,1/17/09,3,Development - Business Logic,Development,Java,Olivia Sullivan,Bob Turner,53,1,0.56
4291,30567,1/14/09,1/1/09,14,2380,0.1,170,2123.23,Toby Seio,Alexion Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,Germantown,38138,Tennessee,South,1/14/09,0,Development - .Net,Development,Market Research,Olivia Sullivan,Frank Mitchell,53,1,0.69
4292,30567,1/14/09,1/1/09,8,880,0.07,110,811.23,Toby Seio,Alexion Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,Hendersonville,37075,Tennessee,South,1/15/09,1,Development - PHP,Development,Javascript,Madison Hill,Frank Mitchell,58,1,0.47
4293,,1/14/09,1/1/09,3,375,0.01,125,368,Toby Seio,Alexion Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,Hendersonville,37075,Tennessee,South,1/16/09,2,Training - SQL,Training,Java,Jayden Hamilton,Frank Mitchell,71,1,0.43
4294,30567,1/14/09,1/1/09,14,1680,0.02,120,1631.98,Toby Seio,Alexion Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,Hendersonville,37075,Tennessee,South,1/15/09,1,Development - Business Logic,Development,Business Model,Mason Gibson,Frank Mitchell,71,1,0.41
4875,34691,1/14/09,1/1/09,27,4590,0.08,170,4185.8,Clytie Dortch,Mattel Inc.,Consumer Non-Durables,Recreational Products/Toys,Allentown,18103,Pennsylvania,East,1/16/09,2,Development - .Net,Development,SQL,Isabella Douglas,Allen Young,75,1,0.56
4876,34691,1/14/09,1/1/09,23,3450,0.02,150,3351.38,Clytie Dortch,Mattel Inc.,Consumer Non-Durables,Recreational Products/Toys,Allentown,18103,Pennsylvania,East,1/14/09,0,Consulting - Strategy,Consulting,Python,Liam Franklin,Allen Young,52,1,0.65
4877,34691,1/14/09,1/1/09,13,1430,0.1,110,1275.72,Clytie Dortch,Mattel Inc.,Consumer Non-Durables,Recreational Products/Toys,Allentown,18103,Pennsylvania,East,1/16/09,2,Development - Python,Development,.Net,Olivia Sullivan,Allen Young,53,1,0.52
